
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
57.0625,,Segment,2,10,Image 1,4,1,100000002,510000004296,
61.5625,,Segment,2,9,Image 1,3,1,100000002,510000004303,
108.562,,Segment,2,8,Image 1,2,1,100000002,510000004308,
66.0625,,Segment,2,7,Image 1,2,1,100000002,510000004310,
48.0625,,Segment,2,11,Image 1,3,1,100000002,510000004313,
65.0625,,Segment,2,10,Image 1,3,1,100000002,510000004323,
90.0625,,Segment,2,4,Image 1,3,1,100000001,510000004333,
31.0625,,Segment,2,7,Image 1,2,1,100000002,510000004336,
41.0625,,Segment,2,11,Image 1,4,1,100000002,510000004341,
59.5625,,Segment,2,6,Image 1,3,1,100000000,510000004348,
25.0312,,Segment,2,6,Image 1,5,1,100000003,510000004351,
18.0312,,Segment,2,7,Image 1,4,1,100000003,510000004357,
50.5625,,Segment,2,6,Image 1,4,1,100000003,510000004362,
