
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1465.65,µm,Segment,Segment Position,3,2,1,100000001,510000002857,
1466.16,µm,Segment,Segment Position,6,4,1,100000001,510000002858,
1466.74,µm,Segment,Segment Position,8,5,1,100000001,510000002859,
1465.68,µm,Segment,Segment Position,4,2,1,100000001,510000002860,
1465.89,µm,Segment,Segment Position,10,3,1,100000001,510000002861,
1465.85,µm,Segment,Segment Position,11,3,1,100000001,510000002862,
1465.46,µm,Segment,Segment Position,7,3,1,100000001,510000002863,
1465.08,µm,Segment,Segment Position,3,3,1,100000001,510000002864,
1464.23,µm,Segment,Segment Position,2,1,1,100000001,510000002866,
1464.25,µm,Segment,Segment Position,3,1,1,100000002,510000002871,
1464.66,µm,Segment,Segment Position,7,2,1,100000002,510000002872,
1464.53,µm,Segment,Segment Position,10,3,1,100000002,510000002873,
1463.95,µm,Segment,Segment Position,0,1,1,,,
