
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
16,,Segment,4,11,Image 1,3,1,100000002,510000004270,
1,,Segment,4,10,Image 1,2,1,100000002,510000004273,
5,,Segment,4,9,Image 1,2,1,100000002,510000004290,
2,,Segment,4,8,Image 1,2,1,100000002,510000004294,
3,,Segment,4,7,Image 1,2,1,100000002,510000004297,
7,,Segment,4,6,Image 1,2,1,100000002,510000004303,
3,,Segment,4,5,Image 1,1,1,100000002,510000004306,
3,,Segment,4,4,Image 1,1,1,100000002,510000004311,
1,,Segment,4,3,Image 1,1,1,100000002,510000004316,
3,,Segment,4,2,Image 1,1,1,100000002,510000004329,
2,,Segment,4,1,Image 1,1,1,100000002,510000004331,
10,,Segment,4,0,Image 1,1,1,100000002,510000004357,
21,,Segment,4,11,Image 1,2,1,100000001,510000004374,
119,,Segment,4,3,Image 1,3,1,100000003,510000004408,
93,,Segment,4,2,Image 1,3,1,100000001,510000004464,
16,,Segment,4,2,Image 1,2,1,100000000,510000004479,
16,,Segment,4,1,Image 1,1,1,100000000,510000004483,
31,,Segment,4,0,Image 1,1,1,100000000,510000004497,
22,,Segment,4,8,Image 1,3,1,100000002,510000004560,
0,,Segment,4,5,Image 1,3,1,100000001,510000004563,
23,,Segment,4,1,Image 1,2,1,100000005,510000004575,
2,,Segment,4,6,Image 1,3,1,100000003,510000004577,
34,,Segment,4,1,Image 1,1,1,100000006,510000004599,
3,,Segment,4,9,Image 1,2,1,100000001,510000004604,
5,,Segment,4,6,Image 1,2,1,100000001,510000004615,
7,,Segment,4,2,Image 1,1,1,100000000,510000004626,
4,,Segment,4,11,Image 1,2,1,100000002,510000004632,
3,,Segment,4,3,Image 1,2,1,100000004,510000004641,
30,,Segment,4,2,Image 1,2,1,100000004,510000004667,
7,,Segment,4,1,Image 1,2,1,100000004,510000004673,
8,,Segment,4,0,Image 1,1,1,100000004,510000004685,
28,,Segment,4,1,Image 1,1,1,100000005,510000004751,
38,,Segment,4,3,Image 1,2,1,100000001,510000004764,
4,,Segment,4,4,Image 1,3,1,100000003,510000004770,
26,,Segment,4,4,Image 1,4,1,100000006,510000004796,
7,,Segment,4,4,Image 1,3,1,100000001,510000004802,
18,,Segment,4,8,Image 1,2,1,100000001,510000004806,
42,,Segment,4,5,Image 1,4,1,100000001,510000004810,
22,,Segment,4,3,Image 1,3,1,100000001,510000004824,
7,,Segment,4,5,Image 1,2,1,100000001,510000004828,
37,,Segment,4,3,Image 1,2,1,100000002,510000004836,
24,,Segment,4,3,Image 1,4,1,100000006,510000004864,
1,,Segment,4,3,Image 1,3,1,100000004,510000004875,
14,,Segment,4,1,Image 1,2,1,100000000,510000004877,
12,,Segment,4,2,Image 1,2,1,100000002,510000004900,
16,,Segment,4,4,Image 1,2,1,100000001,510000004922,
3,,Segment,4,3,Image 1,2,1,100000002,510000004928,
25,,Segment,4,2,Image 1,1,1,100000001,510000004937,
24,,Segment,4,3,Image 1,3,1,100000001,510000004950,
8,,Segment,4,8,Image 1,4,1,100000006,510000004957,
24,,Segment,4,7,Image 1,4,1,100000006,510000004986,
4,,Segment,4,6,Image 1,3,1,100000006,510000004990,
3,,Segment,4,5,Image 1,3,1,100000006,510000004998,
5,,Segment,4,5,Image 1,2,1,100000002,510000005003,
11,,Segment,4,4,Image 1,3,1,100000001,510000005012,
7,,Segment,4,3,Image 1,1,1,100000004,510000005041,
7,,Segment,4,2,Image 1,1,1,100000004,510000005055,
0,,Segment,4,1,Image 1,1,1,100000004,510000005058,
0,,Segment,4,0,Image 1,1,1,100000004,510000005063,
2,,Segment,4,2,Image 1,3,1,100000001,510000005066,
3,,Segment,4,2,Image 1,2,1,100000002,510000005078,
4,,Segment,4,6,Image 1,1,1,100000002,510000005083,
2,,Segment,4,4,Image 1,2,1,100000004,510000005096,
1,,Segment,4,3,Image 1,2,1,100000004,510000005098,
1,,Segment,4,2,Image 1,2,1,100000004,510000005110,
5,,Segment,4,1,Image 1,1,1,100000004,510000005119,
5,,Segment,4,0,Image 1,1,1,100000004,510000005138,
6,,Segment,4,7,Image 1,3,1,100000002,510000005141,
7,,Segment,4,4,Image 1,3,1,100000002,510000005148,
10,,Segment,4,3,Image 1,2,1,100000002,510000005167,
2,,Segment,4,4,Image 1,2,1,100000002,510000005174,
2,,Segment,4,2,Image 1,3,1,100000003,510000005179,
10,,Segment,4,5,Image 1,3,1,100000006,510000005193,
10,,Segment,4,4,Image 1,2,1,100000006,510000005200,
12,,Segment,4,3,Image 1,2,1,100000006,510000005204,
5,,Segment,4,2,Image 1,2,1,100000006,510000005206,
3,,Segment,4,1,Image 1,2,1,100000002,510000005211,
28,,Segment,4,0,Image 1,1,1,100000002,510000005246,
74,,Segment,4,3,Image 1,3,1,100000001,510000005251,
1,,Segment,4,3,Image 1,3,1,100000004,510000005257,
3,,Segment,4,2,Image 1,2,1,100000004,510000005265,
2,,Segment,4,0,Image 1,1,1,100000006,510000005277,
9,,Segment,4,0,Image 1,1,1,100000000,510000005300,
3,,Segment,4,4,Image 1,2,1,100000002,510000005308,
2,,Segment,4,0,Image 1,1,1,100000003,510000005321,
60,,Segment,4,1,Image 1,2,1,100000001,510000005357,
4,,Segment,4,8,Image 1,4,1,100000006,510000005361,
5,,Segment,4,7,Image 1,3,1,100000006,510000005364,
2,,Segment,4,3,Image 1,2,1,100000004,510000005369,
38,,Segment,4,0,Image 1,1,1,100000005,510000005373,
4,,Segment,4,1,Image 1,1,1,100000002,510000005385,
9,,Segment,4,2,Image 1,2,1,100000002,510000005405,
9,,Segment,4,1,Image 1,2,1,100000002,510000005419,
5,,Segment,4,6,Image 1,4,1,100000006,510000005427,
6,,Segment,4,2,Image 1,3,1,100000002,510000005463,
0,,Segment,4,1,Image 1,1,1,100000003,510000005472,
4,,Segment,4,3,Image 1,4,1,100000004,510000005484,
5,,Segment,4,3,Image 1,3,1,100000001,510000005489,
14,,Segment,4,0,Image 1,1,1,100000003,510000005529,
15,,Segment,4,2,Image 1,2,1,100000001,510000005540,
54,,Segment,4,0,Image 1,1,1,100000004,510000005583,
7,,Segment,4,0,Image 1,1,1,100000003,510000005600,
6,,Segment,4,1,Image 1,2,1,100000002,510000005620,
0,,Segment,4,3,Image 1,3,1,100000004,510000005622,
14,,Segment,4,5,Image 1,2,1,100000006,510000005625,
6,,Segment,4,3,Image 1,1,1,100000001,510000005628,
31,,Segment,4,1,Image 1,1,1,100000001,510000005635,
6,,Segment,4,0,Image 1,1,1,100000001,510000005655,
0,,Segment,4,3,Image 1,2,1,100000001,510000005658,
9,,Segment,4,1,Image 1,2,1,100000001,510000005663,
9,,Segment,4,0,Image 1,1,1,100000005,510000005667,
6,,Segment,4,0,Image 1,1,1,100000005,510000005671,
13,,Segment,4,4,Image 1,3,1,100000006,510000005679,
3,,Segment,4,1,Image 1,2,1,100000002,510000005686,
27,,Segment,4,0,Image 1,1,1,100000002,510000005704,
0,,Segment,4,2,Image 1,2,1,100000002,510000005729,
36,,Segment,4,1,Image 1,2,1,100000001,510000005743,
14,,Segment,4,2,Image 1,2,1,100000001,510000005755,
8,,Segment,4,4,Image 1,2,1,100000001,510000005770,
3,,Segment,4,3,Image 1,1,1,100000001,510000005775,
6,,Segment,4,0,Image 1,1,1,100000004,510000005783,
16,,Segment,4,0,Image 1,1,1,100000001,510000005822,
9,,Segment,4,0,Image 1,1,1,100000006,510000005837,
25,,Segment,4,4,Image 1,3,1,100000006,510000005843,
3,,Segment,4,0,Image 1,1,1,100000000,510000005857,
28,,Segment,4,3,Image 1,2,1,100000002,510000005865,
4,,Segment,4,2,Image 1,1,1,100000002,510000005872,
0,,Segment,4,2,Image 1,2,1,100000004,510000005875,
1,,Segment,4,0,Image 1,1,1,100000001,510000005891,
6,,Segment,4,3,Image 1,2,1,100000004,510000005901,
7,,Segment,4,2,Image 1,1,1,100000004,510000005915,
2,,Segment,4,4,Image 1,1,1,100000001,510000005917,
10,,Segment,4,3,Image 1,1,1,100000002,510000005930,
4,,Segment,4,3,Image 1,1,1,100000004,510000005935,
5,,Segment,4,0,Image 1,1,1,100000002,510000005945,
4,,Segment,4,2,Image 1,3,1,100000004,510000005950,
1,,Segment,4,1,Image 1,2,1,100000002,510000005959,
14,,Segment,4,0,Image 1,1,1,100000002,510000005975,
16,,Segment,4,0,Image 1,1,1,100000004,510000005985,
5,,Segment,4,1,Image 1,1,1,100000004,510000005989,
3,,Segment,4,3,Image 1,3,1,100000006,510000005992,
4,,Segment,4,2,Image 1,1,1,100000004,510000006001,
16,,Segment,4,1,Image 1,1,1,100000004,510000006005,
12,,Segment,4,0,Image 1,1,1,100000004,510000006013,
7,,Segment,4,1,Image 1,1,1,100000006,510000006020,
4,,Segment,4,0,Image 1,1,1,100000002,510000006074,
36,,Segment,4,0,Image 1,1,1,100000006,510000006087,
2,,Segment,4,1,Image 1,2,1,100000004,510000006091,
66,,Segment,4,1,Image 1,2,1,100000004,510000006100,
3,,Segment,4,1,Image 1,2,1,100000004,510000006110,
2,,Segment,4,0,Image 1,1,1,100000004,510000006119,
2,,Segment,4,0,Image 1,1,1,100000002,510000006154,
2,,Segment,4,6,Image 1,1,1,100000001,510000006170,
1,,Segment,4,4,Image 1,2,1,100000001,510000006171,
0,,Segment,4,2,Image 1,1,1,100000001,510000006172,
1,,Segment,4,7,Image 1,2,1,100000001,510000006173,
3,,Segment,4,4,Image 1,3,1,100000001,510000006174,
0,,Segment,4,2,Image 1,2,1,100000001,510000006175,
3,,Segment,4,4,Image 1,2,1,100000001,510000006176,
1,,Segment,4,7,Image 1,4,1,100000001,510000006177,
1,,Segment,4,6,Image 1,5,1,100000001,510000006178,
3,,Segment,4,10,Image 1,1,1,100000001,510000006179,
0,,Segment,4,13,Image 1,6,1,100000001,510000006180,
1,,Segment,4,9,Image 1,2,1,100000001,510000006181,
5,,Segment,4,2,Image 1,2,1,100000001,510000006182,
0,,Segment,4,2,Image 1,2,1,100000001,510000006183,
1,,Segment,4,5,Image 1,1,1,100000002,510000006186,
