
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.695909,µm^2,Segment,3,1,1,100000001,510000005109,
1.10257,µm^2,Segment,4,3,1,100000002,510000005114,
0.547033,µm^2,Segment,6,2,1,100000002,510000005118,
0.601577,µm^2,Segment,7,3,1,100000002,510000005121,
2.8009,µm^2,Segment,4,2,1,100000000,510000005138,
1.09144,µm^2,Segment,4,2,1,100000001,510000005144,
1.99617,µm^2,Segment,3,3,1,100000003,510000005162,
0.533869,µm^2,Segment,3,4,1,100000002,510000005164,
0.361028,µm^2,Segment,4,3,1,100000000,510000005166,
2.36581,µm^2,Segment,2,2,1,100000002,510000005190,
0.766771,µm^2,Segment,3,1,1,100000002,510000005194,
0.810426,µm^2,Segment,5,3,1,100000002,510000005200,
