
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003362,
0.211532,0.252264,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003384,
0.215453,0.486992,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003385,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003396,
0.218132,0.218132,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003397,
0.202913,0.202913,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003398,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003418,
0.292094,0.292094,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000003451,
0.349508,0.412444,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000003452,
0.235371,0.162331,0.175088,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001477,
0.235371,0.162331,0.175088,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001492,
0.194886,0.162331,0.175088,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001571,
0.162331,0.162331,0.162331,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001688,
0.235371,0.175088,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001703,
0.278199,0.162331,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001761,
0.174399,0.162331,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001914,
