
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Spine,2,10,Image 1,6,1,100000002,610000008544,
10,,Spine,2,8,Image 1,3,1,100000002,610000008545,
12,,Spine,2,4,Image 1,3,1,100000002,610000008546,
8,,Spine,2,4,Image 1,3,1,100000002,610000008547,
8,,Spine,2,3,Image 1,3,1,100000002,610000008548,
19,,Spine,2,4,Image 1,3,1,100000002,610000008549,
6,,Spine,2,2,Image 1,2,1,100000002,610000008550,
13,,Spine,2,2,Image 1,2,1,100000002,610000008551,
5,,Spine,2,2,Image 1,2,1,100000002,610000008552,
14,,Spine,2,0,Image 1,1,1,100000002,610000008553,
5,,Spine,2,4,Image 1,2,1,100000002,610000008554,
8,,Spine,2,4,Image 1,2,1,100000002,610000008555,
25,,Spine,2,3,Image 1,3,1,100000002,610000008556,
20,,Spine,2,3,Image 1,3,1,100000002,610000008557,
23,,Spine,2,2,Image 1,2,1,100000002,610000008558,
15,,Spine,2,2,Image 1,2,1,100000002,610000008559,
5,,Spine,2,2,Image 1,3,1,100000002,610000008560,
24,,Spine,2,2,Image 1,3,1,100000002,610000008561,
8,,Spine,2,2,Image 1,1,1,100000002,610000008562,
10,,Spine,2,0,Image 1,1,1,100000002,610000008563,
13,,Spine,2,4,Image 1,2,1,100000002,610000008565,
5,,Spine,2,4,Image 1,2,1,100000002,610000008566,
13,,Spine,2,3,Image 1,2,1,100000002,610000008567,
6,,Spine,2,3,Image 1,2,1,100000002,610000008568,
2,,Spine,2,3,Image 1,2,1,100000002,610000008569,
8,,Spine,2,3,Image 1,2,1,100000002,610000008570,
9,,Spine,2,3,Image 1,1,1,100000002,610000008571,
15,,Spine,2,0,Image 1,1,1,100000002,610000008573,
18,,Spine,2,0,Image 1,1,1,100000002,610000008574,
12,,Spine,2,3,Image 1,2,1,100000002,610000008576,
9,,Spine,2,2,Image 1,2,1,100000002,610000008577,
10,,Spine,2,1,Image 1,1,1,100000002,610000008578,
5,,Spine,2,0,Image 1,1,1,100000002,610000008579,
5,,Spine,2,13,Image 1,4,1,100000003,610000008586,
16,,Spine,2,13,Image 1,3,1,100000003,610000008587,
7,,Spine,2,12,Image 1,3,1,100000003,610000008588,
14,,Spine,2,11,Image 1,3,1,100000003,610000008589,
6,,Spine,2,11,Image 1,2,1,100000003,610000008590,
9,,Spine,2,11,Image 1,2,1,100000003,610000008591,
18,,Spine,2,9,Image 1,2,1,100000003,610000008592,
15,,Spine,2,9,Image 1,2,1,100000003,610000008593,
12,,Spine,2,13,Image 1,4,1,100000003,610000008594,
13,,Spine,2,12,Image 1,3,1,100000003,610000008595,
13,,Spine,2,11,Image 1,4,1,100000003,610000008596,
7,,Spine,2,11,Image 1,4,1,100000003,610000008597,
5,,Spine,2,11,Image 1,3,1,100000003,610000008598,
9,,Spine,2,10,Image 1,3,1,100000003,610000008599,
4,,Spine,2,9,Image 1,3,1,100000003,610000008600,
4,,Spine,2,8,Image 1,3,1,100000003,610000008601,
16,,Spine,2,8,Image 1,3,1,100000003,610000008602,
3,,Spine,2,17,Image 1,6,1,100000003,610000008603,
24,,Spine,2,10,Image 1,2,1,100000003,610000008604,
