
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.80117,µm,Spine,Spine Part Mean Diameter,9,2,1,100000002,610000009121,
0.748873,µm,Spine,Spine Part Mean Diameter,13,2,1,100000002,610000009122,
0.728276,µm,Spine,Spine Part Mean Diameter,11,2,1,100000002,610000009123,
1.00844,µm,Spine,Spine Part Mean Diameter,12,2,1,100000002,610000009124,
0.957149,µm,Spine,Spine Part Mean Diameter,7,2,1,100000002,610000009125,
1.48724,µm,Spine,Spine Part Mean Diameter,7,2,1,100000002,610000009126,
0.765469,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000009127,
0.659725,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000009128,
1.17589,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000009129,
0.983528,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000009130,
1.38765,µm,Spine,Spine Part Mean Diameter,8,4,1,100000003,610000009131,
0.809025,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000009132,
1.27061,µm,Spine,Spine Part Mean Diameter,6,3,1,100000003,610000009133,
0.941695,µm,Spine,Spine Part Mean Diameter,3,3,1,100000003,610000009134,
0.833333,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000009135,
0.9802,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009136,
0.924297,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000009137,
1.20483,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000009139,
0.735202,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000009140,
1.18986,µm,Spine,Spine Part Mean Diameter,9,3,1,100000003,610000009141,
1.26143,µm,Spine,Spine Part Mean Diameter,8,1,1,100000003,610000009142,
0.928538,µm,Spine,Spine Part Mean Diameter,7,1,1,100000003,610000009143,
1.15823,µm,Spine,Spine Part Mean Diameter,7,1,1,100000003,610000009144,
1.34094,µm,Spine,Spine Part Mean Diameter,5,1,1,100000003,610000009145,
0.614886,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000009146,
0.89997,µm,Spine,Spine Part Mean Diameter,5,3,1,100000003,610000009147,
0.867187,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000009148,
1.13651,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000009149,
1.05355,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000009150,
0.776978,µm,Spine,Spine Part Mean Diameter,3,3,1,100000003,610000009151,
1.04393,µm,Spine,Spine Part Mean Diameter,9,7,1,100000003,610000009152,
0.829096,µm,Spine,Spine Part Mean Diameter,6,5,1,100000003,610000009153,
