
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
67.125,,Spine,2,6,Image 1,3,1,100000001,610000010241,
28.0625,,Spine,2,4,Image 1,3,1,100000001,610000010242,
53.125,,Spine,2,3,Image 1,2,1,100000001,610000010243,
47.0625,,Spine,2,2,Image 1,2,1,100000001,610000010244,
32.0625,,Spine,2,6,Image 1,3,1,100000001,610000010245,
17.0312,,Spine,2,6,Image 1,3,1,100000001,610000010246,
38.5625,,Spine,2,6,Image 1,3,1,100000001,610000010247,
93.125,,Spine,2,5,Image 1,2,1,100000001,610000010248,
31.0625,,Spine,2,3,Image 1,2,1,100000001,610000010249,
49.125,,Spine,2,1,Image 1,1,1,100000001,610000010250,
54.0625,,Spine,2,0,Image 1,1,1,100000001,610000010251,
69.125,,Spine,2,0,Image 1,1,1,100000001,610000010252,
32.0625,,Spine,2,5,Image 1,3,1,100000001,610000010253,
51.0625,,Spine,2,7,Image 1,3,1,100000001,610000010254,
98.0625,,Spine,2,0,Image 1,1,1,100000001,610000010255,
46.0625,,Spine,2,3,Image 1,2,1,100000001,610000010256,
35.0625,,Spine,2,3,Image 1,1,1,100000001,610000010257,
40.125,,Spine,2,2,Image 1,1,1,100000001,610000010258,
50.625,,Spine,2,2,Image 1,1,1,100000001,610000010259,
42.625,,Spine,2,2,Image 1,1,1,100000001,610000010260,
31.5625,,Spine,2,14,Image 1,5,1,100000002,610000010261,
33.0625,,Spine,2,14,Image 1,5,1,100000002,610000010262,
45.125,,Spine,2,14,Image 1,5,1,100000002,610000010263,
33.0625,,Spine,2,14,Image 1,5,1,100000002,610000010264,
78.625,,Spine,2,12,Image 1,4,1,100000002,610000010265,
77.125,,Spine,2,12,Image 1,4,1,100000002,610000010266,
52.125,,Spine,2,13,Image 1,6,1,100000002,610000010267,
45.125,,Spine,2,12,Image 1,5,1,100000002,610000010268,
39.125,,Spine,2,12,Image 1,5,1,100000002,610000010269,
50.625,,Spine,2,11,Image 1,5,1,100000002,610000010270,
46.0625,,Spine,2,11,Image 1,5,1,100000002,610000010271,
33.0625,,Spine,2,10,Image 1,4,1,100000002,610000010272,
40.0625,,Spine,2,8,Image 1,3,1,100000002,610000010273,
69.125,,Spine,2,8,Image 1,3,1,100000002,610000010274,
46.0625,,Spine,2,7,Image 1,3,1,100000002,610000010275,
58.125,,Spine,2,7,Image 1,3,1,100000002,610000010276,
62.125,,Spine,2,5,Image 1,2,1,100000002,610000010277,
54.0625,,Spine,2,3,Image 1,1,1,100000002,610000010278,
40.0625,,Spine,2,3,Image 1,1,1,100000002,610000010279,
46.0625,,Spine,2,3,Image 1,2,1,100000002,610000010280,
81.125,,Spine,2,2,Image 1,2,1,100000002,610000010281,
91.125,,Spine,2,0,Image 1,1,1,100000002,610000010282,
